"コード記号","表示表記","コード分類","ルート (R)","3度音 (3/♭3/4)","5度音 (5/♭5/♯5)","7度音 (7/♭7/♭♭7/6)"
"CM7","CM7","メジャー7th","C","3: E","5: G","7: B"
"CΔ7","CΔ7","メジャー7th","C","3: E","5: G","7: B"
"C^7","CΔ7","メジャー7th","C","3: E","5: G","7: B"
"C7","C7","ドミナント7th","C","3: E","5: G","♭7: Bb"
"C7sus4","C7sus4","ドミナント7th","C","4: F","5: G","♭7: Bb"
"Cm7","Cm7","マイナー7th","C","♭3: Eb","5: G","♭7: Bb"
"C-7","Cm7","マイナー7th","C","♭3: Eb","5: G","♭7: Bb"
"Cm7b5","Cm7♭5","マイナー7th(♭5)","C","♭3: Eb","♭5: Gb","♭7: Bb"
"Ch7","Cm7(♭5)","マイナー7th(♭5)","C","3: E","♭5: Gb","♭7: Bb"
"Cdim7","Cdim7","ディミニッシュ7th","C","3: E","♭5: Gb","♭♭7: Bbb"
"Co7","Cdim7","ディミニッシュ7th","C","3: E","♭5: Gb","♭♭7: Bbb"
"C6","C6","6th","C","3: E","5: G","6: Bbb"
"Cm6","Cm6","6th","C","♭3: Eb","5: G","6: Bbb"
"C","C","トライアド","C","3: E","5: G","-"
"Cm","Cm","トライアド","C","♭3: Eb","5: G","-"
"Cdim","Cdim","トライアド","C","3: E","♭5: Gb","-"
"Caug","Caug","トライアド","C","3: E","♯5: G#","-"
"DbM7","D♭M7","メジャー7th","Db","3: F","5: Ab","7: C"
"DbΔ7","D♭Δ7","メジャー7th","Db","3: F","5: Ab","7: C"
"Db^7","D♭Δ7","メジャー7th","Db","3: F","5: Ab","7: C"
"Db7","D♭7","ドミナント7th","Db","3: F","5: Ab","♭7: Cb"
"Db7sus4","D♭7sus4","ドミナント7th","Db","4: Gb","5: Ab","♭7: Cb"
"Dbm7","D♭m7","マイナー7th","Db","♭3: Fb","5: Ab","♭7: Cb"
"Db-7","D♭m7","マイナー7th","Db","♭3: Fb","5: Ab","♭7: Cb"
"Dbm7b5","D♭m7♭5","マイナー7th(♭5)","Db","♭3: Fb","♭5: Abb","♭7: Cb"
"Dbh7","D♭m7(♭5)","マイナー7th(♭5)","Db","3: F","♭5: Abb","♭7: Cb"
"Dbdim7","D♭dim7","ディミニッシュ7th","Db","3: F","♭5: Abb","♭♭7: Cbb"
"Dbo7","D♭dim7","ディミニッシュ7th","Db","3: F","♭5: Abb","♭♭7: Cbb"
"Db6","D♭6","6th","Db","3: F","5: Ab","6: Cbb"
"Dbm6","D♭m6","6th","Db","♭3: Fb","5: Ab","6: Cbb"
"Db","D♭","トライアド","Db","3: F","5: Ab","-"
"Dbm","D♭m","トライアド","Db","♭3: Fb","5: Ab","-"
"Dbdim","D♭dim","トライアド","Db","3: F","♭5: Abb","-"
"Dbaug","D♭aug","トライアド","Db","3: F","♯5: A","-"
"DM7","DM7","メジャー7th","D","3: F#","5: A","7: C#"
"DΔ7","DΔ7","メジャー7th","D","3: F#","5: A","7: C#"
"D^7","DΔ7","メジャー7th","D","3: F#","5: A","7: C#"
